1;pra-abh;Abhiri;[missing];
2;xme-abz;Abuzeydabadi;[missing];
3;xme-aby;Abyanehi;[missing];
4;fr-aca;Acadian French;[missing];
5;elx-ach;Achaemenid Elamite;[missing];
6;act;Achterhoeks;[missing];
7;fub;Adamawa Fulfulde;[missing];
8;dv-add;Addu Dhivehi;[missing];
9;grc-aeo;Aeolic Greek;[missing];
10;ps-afr;Afridi;[missing];
11;cop-akh;Akhmimic Coptic;[missing];
12;tw-aku;Akuapem Twi;[missing];
13;xln;Alanic;[missing];
14;gsw-FR-als;Alsatian Alemannic German;[missing];
15;adx;Amdo Tibetan;[missing];
16;en-US;American English;[missing];
17;xme-amo;Amorehi;[missing];
18;xme-ana;Anaraki;[missing];
19;cv-ana;Anatri;[missing];
20;tly-anb;Anbarani;[missing];
21;okz-ang;Angkorian Old Khmer;[missing];
22;ang-ang;Anglian Old English;[missing];
23;xno;Anglo-Norman;[missing];
24;nan-anx;Anxi Hokkien;[missing];
25;oc-ara;Aranese;[missing];
26;aae;Arbëresh Albanian;[missing];
27;grc-arc;Arcadian Greek;[missing];
28;grc-arp;Arcadocypriot Greek;[missing];
29;xme-ard;Ardestani;[missing];
30;pra-ard;Ardhamagadhi Prakrit;[missing];
31;klj-arg;Arghu;[missing];
32;qwm-arm;Armeno-Kipchak;[missing];
33;aat;Arvanitika Albanian;[missing];
34;tly-asa;Asalemi;[missing];
35;tw-asa;Asante Twi;[missing];
36;atn;Ashtiani;[missing];
37;grc-att;Attic Greek;[missing];
38;en-aae;Australian Aboriginal English;[missing];
39;en-AU;Australian English;[missing];
40;de-AT;Austrian German;[missing];
41;oc-auv;Auvergnat;[missing];
42;pra-ava;Avanti;[missing];
43;tly-aze;Azerbaijani Talysh;[missing];
44;xme-bdr;Badrudi;[missing];
45;fui;Bagirmi Fulfulde;[missing];
46;pra-bah;Bahliki;[missing];
47;sgh-baj;Bajui;[missing];
48;bsg-ban;Bandari;[missing];
49;ps-bng;Bangash;[missing];
50;ps-ban;Bannu;[missing];
51;sgh-bar;Bartangi;[missing];
52;sgh-bro;Bartangi-Oroshori;[missing];
53;cmn-bei;Beijing Mandarin;[missing];
54;cmn-bec;Beijingic Mandarin;[missing];
55;nl-BE;Belgian Dutch;[missing];
56;pse-bsm;Besemah;[missing];
57;bew-kot;Betawi Kota;[missing];
58;bew-ora;Betawi Ora;[missing];
59;bew-udi;Betawi Udik;[missing];
60;arc-bib;Biblical Aramaic;Eastern Aramaic;
61;hbo;Biblical Hebrew;[missing];
62;xme-bid;Bidhandi;[missing];
63;xme-bij;Bijagani;[missing];
64;grc-boi;Boeotian Greek;[missing];
65;cop-boh;Bohairic Coptic;[missing];
66;hi-mum;Bombay Hindi;[missing];
67;tw-abr;Bono Twi;[missing];
68;gax;Borana;[missing];
69;fue;Borgu Fulfulde;[missing];
70;xme-bor;Borujerdi;[missing];
71;sa-bra;Brahmanic Sanskrit;[missing];
72;pt-BR;Brazilian Portuguese;[missing];
73;en-GB;British English;[missing];
74;sa-bhs;Buddhist Hybrid Sanskrit;[missing];
75;fay-bur;Burenjani;[missing];
76;fay-bsh;Bushehri;[missing];
77;gkm;Byzantine Greek;[missing];
78;frc;Cajun French;[missing];
79;en-US-CA;California English;[missing];
80;ncb-cam;Camorta;[missing];
81;sc-sro;Campidanese;[missing];
82;en-CA;Canadian English;[missing];
83;fr-CA;Canadian French;[missing];
84;pra-can;Candali;[missing];
85;ps-cgi;Central Ghilzay;[missing];
86;ko-cen;Central Korean;[missing];
87;cmn-cep;Central Plains Mandarin;[missing];
88;tly-cen;Central Talysh;[missing];
89;xme-ttc-cen;Central Tati;[missing];
90;fuq;Central-Eastern Niger Fulfulde;[missing];
91;ckm;Chakavian Serbo-Croatian;[missing];
92;mn-cha;Chakhar Mongolian;[missing];
93;tks-cal;Chali Tati;[missing];
94;nan-cha;Changtai Hokkien;[missing];
95;xme-cim;Chimehi;[missing];
96;arc-cpa;Christian Palestinian Aramaic;Western Aramaic;
97;ko-chu;Chungcheong Korean;[missing];
